Athlete_ID,Age,Gender,Sport_Type,Exercise_Type,Duration_Minutes,Intensity_Level,Heart_Rate,Calories_Consumed,Protein_g,Carbs_g,Fats_g,Sleep_Hours,Hydration_Level,Fatigue_Score,Injury_History,Recovery_Time_Days,Speed_Score,Endurance_Score,Strength_Score
5739,38,Male,Boxing,Endurance,60,High,130,3827,64,466,62,7.9,High,8,,0,10.33,5.71,8.2
4323,19,Female,Baseball,Cardio,102,Medium,79,2658,69,287,63,7.4,Low,8,Minor,28,16.06,7.28,4.06
2477,27,Female,Basketball,Endurance,109,High,62,2666,119,141,97,9.2,Moderate,5,,0,16.32,5.17,9.27
7852,33,Male,Baseball,Cardio,83,High,161,1738,96,441,87,9.3,High,6,,0,16.24,3.35,7.77
9092,33,Male,Running,Strength,76,High,139,2400,181,440,93,8.9,Low,1,,0,10.04,5.49,1.37
4186,36,Female,Running,Strength,66,High,104,2913,104,481,88,9.6,Low,4,,0,12.29,1.54,5.02
2552,33,Female,Tennis,Strength,41,Low,82,3886,146,195,78,4.0,Moderate,5,,0,5.72,8.4,3.24
2399,23,Male,Baseball,Endurance,67,Low,158,3067,171,403,80,9.2,Moderate,6,Minor,42,16.23,3.64,3.67
3419,25,Female,Hockey,Cardio,78,High,172,1747,158,266,85,6.2,Moderate,2,,0,17.93,3.75,2.97
3490,25,Female,Basketball,Cardio,36,High,158,3198,104,136,37,6.6,Moderate,2,Minor,58,8.21,6.93,9.16
3455,19,Female,Boxing,Endurance,98,Low,128,3438,162,412,48,4.4,Moderate,7,,0,18.2,5.32,4.64
3780,19,Female,Running,Endurance,61,High,130,3627,53,195,95,6.1,Moderate,1,,0,11.65,4.62,8.87
3347,31,Male,Baseball,Endurance,63,High,157,2615,170,485,42,6.3,Moderate,1,,0,7.58,6.18,5.83
5724,28,Female,Running,Strength,91,Low,157,1522,127,196,58,8.7,Low,6,,0,9.64,7.57,8.42
3418,31,Male,Football,Cardio,82,Medium,169,1942,197,261,88,7.6,Low,7,,0,7.87,4.75,3.8
2409,37,Male,Football,Endurance,65,Medium,106,2776,62,461,64,4.5,Low,1,Severe,44,8.37,9.05,4.66
4508,21,Female,Basketball,Endurance,52,High,111,3219,191,180,59,6.4,Moderate,9,,0,17.75,8.1,7.79
7973,33,Male,Running,Cardio,47,Medium,179,2920,154,316,85,7.7,Low,5,,0,17.32,7.49,7.43
9851,30,Male,Wrestling,Endurance,31,Medium,129,1795,198,175,29,7.2,Moderate,7,,0,18.65,5.14,5.14
6233,25,Male,Wrestling,Endurance,40,Low,146,1768,107,208,42,4.8,Moderate,5,,0,5.65,7.39,6.12
7835,25,Male,Running,Endurance,76,Medium,146,3878,154,431,79,5.9,High,6,Minor,79,12.05,7.23,6.67
495,18,Male,Hockey,Endurance,60,Low,161,2651,165,404,24,6.1,Moderate,8,Severe,52,17.06,1.81,8.3
9963,23,Female,Football,Cardio,55,Low,91,3723,139,299,50,7.7,Moderate,8,,0,19.4,2.08,1.51
8110,32,Female,Wrestling,Endurance,109,Medium,92,2141,179,439,39,7.4,High,5,,0,19.12,2.73,1.96
5629,25,Female,Football,Endurance,115,High,116,2118,141,214,63,6.1,High,9,,0,12.75,3.71,4.14
7094,27,Male,Boxing,Cardio,99,Medium,111,1725,76,437,43,8.2,Moderate,9,,0,14.9,3.06,5.65
5239,26,Female,Boxing,Cardio,71,Low,97,3430,111,187,27,5.9,Low,5,,0,19.18,4.31,7.02
5930,23,Female,Running,Cardio,81,Medium,166,3436,154,157,66,4.0,Low,9,,0,7.15,2.74,8.0
3120,27,Female,Football,Endurance,78,Low,99,2692,54,286,79,4.2,Low,2,Moderate,85,15.3,1.8,2.28
958,39,Female,Football,Strength,59,High,171,3865,194,372,39,6.6,Low,3,,0,16.05,2.52,8.24
6987,18,Male,Football,Cardio,73,Medium,159,2813,114,231,71,7.6,High,5,Moderate,43,13.36,2.18,9.64
1922,21,Female,Running,Strength,50,Medium,135,3816,59,359,53,5.9,High,4,,0,7.87,8.86,5.88
2549,30,Female,Football,Cardio,35,Low,103,2887,160,193,65,6.4,Moderate,8,Moderate,86,18.05,8.71,7.93
875,27,Female,Tennis,Endurance,114,High,133,3911,56,114,60,5.5,Moderate,8,,0,11.53,7.78,4.98
9727,39,Male,Wrestling,Endurance,47,Medium,70,2359,53,486,21,4.4,High,1,,0,14.37,9.97,3.98
9624,19,Male,Basketball,Cardio,108,High,95,3973,138,252,53,6.0,High,9,,0,19.34,3.92,6.94
8676,20,Male,Running,Strength,45,Medium,97,1892,141,477,95,6.5,High,8,,0,19.68,3.73,6.93
8643,20,Female,Running,Strength,91,Medium,130,1622,150,261,66,5.3,Low,4,Minor,57,16.49,1.22,5.52
9007,36,Male,Boxing,Endurance,37,High,171,1631,167,111,48,7.3,Low,9,,0,13.78,9.67,2.8
894,29,Male,Baseball,Strength,85,High,168,1725,55,350,51,9.1,Moderate,8,Minor,25,17.92,5.04,1.16
2570,33,Female,Running,Strength,48,Low,116,1507,138,229,61,7.9,High,4,Minor,34,15.25,5.86,7.65
8460,34,Female,Cricket,Endurance,93,Low,83,2456,195,215,65,5.9,Low,2,Minor,25,13.33,8.37,5.24
532,22,Female,Running,Cardio,106,High,114,3344,53,123,32,9.6,High,7,,0,12.14,4.43,5.01
4664,30,Male,Wrestling,Endurance,70,High,146,2328,127,122,92,9.6,High,8,Moderate,21,13.55,5.99,2.28
7494,20,Female,Cricket,Cardio,58,High,109,1750,171,319,46,4.9,Low,9,,0,17.26,2.8,9.38
6229,35,Male,Football,Endurance,66,Medium,120,1883,148,337,28,5.2,Moderate,2,,0,17.47,3.35,4.97
7528,31,Male,Running,Cardio,100,Medium,146,2378,99,164,68,9.9,High,3,,0,19.07,9.04,4.33
7113,29,Female,Basketball,Cardio,38,Medium,135,3515,153,459,79,8.6,Moderate,8,,0,11.66,8.8,9.34
4629,32,Male,Basketball,Endurance,36,High,78,3968,165,368,68,7.9,High,7,Moderate,43,12.17,6.97,2.05
9388,24,Female,Basketball,Strength,38,Medium,176,2174,59,370,26,8.6,High,1,Moderate,7,6.52,4.62,7.53
5088,20,Female,Football,Strength,52,Low,64,2828,104,409,47,5.8,Moderate,2,Moderate,36,5.5,5.42,6.63
2223,22,Male,Basketball,Strength,60,High,145,3173,127,315,67,9.8,Low,3,,0,9.27,1.67,7.09
7450,38,Female,Running,Cardio,83,Medium,78,3485,161,365,40,9.2,Low,1,,0,11.27,7.1,4.08
4319,30,Female,Wrestling,Strength,96,Low,128,3744,130,389,54,7.3,Moderate,8,,0,5.62,7.96,8.05
9373,37,Male,Basketball,Cardio,75,Medium,60,1911,131,346,91,9.8,Moderate,1,,0,11.03,4.4,9.09
845,28,Female,Running,Endurance,104,Low,161,3814,100,127,39,7.9,Low,9,,0,8.81,2.72,5.98
7420,32,Male,Boxing,Cardio,85,Low,133,2609,136,139,38,7.2,Moderate,9,Minor,35,18.79,7.11,1.74
711,19,Male,Wrestling,Cardio,92,High,116,3513,175,117,32,9.9,Moderate,7,,0,15.47,4.66,1.8
9724,24,Male,Basketball,Strength,31,Low,87,1963,51,248,72,7.6,Low,9,,0,18.83,6.52,9.41
7727,39,Female,Boxing,Strength,99,Low,152,2200,130,162,59,7.1,Moderate,7,Minor,75,14.59,9.56,8.56
3974,19,Female,Hockey,Endurance,57,Low,163,2481,166,452,81,8.2,High,6,,0,9.36,1.36,6.88
1901,22,Male,Football,Strength,32,Medium,61,1901,139,287,42,6.0,Low,7,,0,9.28,4.71,4.15
8876,36,Male,Basketball,Strength,77,Low,65,2770,179,333,24,6.8,High,5,Moderate,74,16.51,8.47,6.27
3445,35,Female,Wrestling,Endurance,86,Medium,121,3989,81,147,74,8.0,High,1,,0,13.92,9.11,6.8
8944,31,Female,Football,Strength,33,Medium,100,2657,133,129,22,5.0,Moderate,2,,0,18.12,5.56,1.59
7655,34,Male,Volleyball,Strength,105,High,148,1607,179,380,26,7.3,Moderate,7,,0,14.46,7.88,7.94
8556,23,Female,Football,Cardio,44,Low,111,1627,65,102,98,8.5,High,6,,0,10.48,6.37,2.86
803,27,Female,Volleyball,Strength,80,High,172,2443,196,179,92,6.8,High,9,,0,10.13,9.86,5.41
530,31,Male,Tennis,Endurance,82,Medium,167,1585,176,336,34,7.7,High,7,,0,8.87,2.39,6.58
7724,32,Female,Wrestling,Endurance,86,High,121,2521,133,355,42,6.0,Moderate,4,Moderate,62,18.45,7.68,8.78
2630,27,Male,Boxing,Strength,76,High,117,1703,113,445,23,9.8,Low,5,,0,12.88,6.35,8.48
8767,19,Male,Running,Endurance,32,Medium,101,3722,62,316,57,6.0,Moderate,7,,0,5.7,9.32,2.46
1801,24,Male,Wrestling,Strength,62,Low,151,3043,173,479,50,6.3,High,9,,0,11.36,1.84,6.35
1131,26,Female,Basketball,Cardio,91,Medium,119,1986,175,418,56,4.0,High,3,,0,6.88,8.05,4.26
5447,28,Female,Running,Endurance,79,Low,143,3783,152,182,45,8.3,High,8,,0,14.64,8.64,2.4
7741,36,Male,Volleyball,Cardio,71,Low,73,3289,149,443,30,7.7,High,4,Minor,49,17.11,1.19,5.33
6322,19,Female,Boxing,Strength,67,Low,95,3301,161,337,29,9.2,Moderate,8,,0,19.48,9.28,5.93
1095,31,Male,Football,Endurance,60,High,76,1868,58,461,45,10.0,Moderate,6,,0,8.23,5.97,7.15
9090,30,Male,Baseball,Strength,118,Low,130,3941,169,326,96,8.4,Moderate,4,Minor,75,15.99,9.45,2.98
312,36,Male,Basketball,Strength,93,Medium,125,3060,138,130,80,5.8,High,7,Moderate,31,7.19,4.51,1.52
9728,21,Female,Tennis,Cardio,112,High,94,3105,177,363,39,9.1,Moderate,3,Minor,61,15.88,9.28,4.61
7841,34,Female,Wrestling,Endurance,59,Low,71,3562,84,427,66,9.8,Moderate,6,,0,17.35,7.74,7.98
5614,21,Female,Running,Endurance,114,Medium,119,2690,96,225,97,6.8,Low,2,,0,6.57,9.91,6.32
1318,34,Female,Running,Strength,91,Low,83,2883,81,156,81,9.2,High,7,Severe,77,12.06,4.33,9.04
4625,35,Male,Tennis,Cardio,85,High,62,2128,187,126,57,7.9,High,4,,0,11.77,3.09,1.8
6269,31,Female,Baseball,Endurance,105,Medium,120,1591,118,443,26,7.3,Low,6,,0,17.31,8.06,3.97
8688,33,Male,Wrestling,Endurance,74,Low,175,3733,90,311,20,4.9,High,1,,0,7.57,4.3,6.28
5196,37,Female,Basketball,Endurance,115,High,140,1595,192,135,53,7.5,Moderate,9,,0,15.68,3.64,1.43
7902,30,Female,Running,Endurance,117,Medium,133,1584,80,199,25,6.9,High,3,Minor,39,10.84,6.15,1.89
9524,22,Female,Boxing,Strength,115,Medium,72,2677,192,281,52,8.7,Moderate,2,,0,8.82,8.14,2.0
6425,34,Male,Boxing,Cardio,41,Medium,100,3023,189,250,24,6.4,High,2,,0,7.39,8.14,2.85
169,28,Male,Basketball,Cardio,115,Low,157,2080,143,216,89,9.2,High,8,,0,5.67,7.53,4.5
9499,30,Female,Basketball,Endurance,76,Medium,136,2112,61,183,57,7.0,Moderate,3,Minor,25,11.22,5.45,2.65
6639,22,Female,Baseball,Strength,106,Medium,102,2470,57,489,38,6.4,High,3,,0,19.4,4.03,9.68
1755,34,Female,Wrestling,Cardio,80,High,121,3434,92,384,42,4.5,Moderate,8,,0,5.8,6.78,1.47
8541,30,Female,Boxing,Endurance,66,Medium,149,1613,115,176,88,6.5,Low,2,Severe,84,7.33,6.26,8.01
3145,33,Female,Running,Strength,85,Medium,93,3685,98,211,52,4.7,Moderate,2,Moderate,38,10.47,7.56,9.71
4707,22,Female,Football,Strength,31,Medium,131,3060,103,194,45,8.4,High,6,Moderate,45,7.13,4.42,8.65
907,39,Male,Running,Cardio,91,High,126,1589,164,124,45,7.8,Moderate,5,,0,17.29,9.94,8.08
5957,21,Male,Football,Cardio,71,High,104,3838,175,384,53,9.6,Low,4,,0,10.94,1.9,8.73
1627,32,Male,Football,Cardio,104,Low,170,3385,107,369,87,5.3,Low,4,Minor,26,15.38,1.41,9.08
9646,30,Male,Running,Strength,119,Low,174,3180,79,452,99,8.8,Low,1,,0,18.89,3.15,8.69
6922,22,Female,Football,Strength,52,High,110,2481,91,361,60,9.6,Moderate,5,Minor,75,14.03,5.35,2.87
9256,37,Female,Running,Cardio,76,Low,73,3854,199,288,42,9.7,Moderate,6,,0,15.33,9.77,4.74
3721,19,Female,Basketball,Endurance,80,Low,134,1655,102,286,74,9.8,Moderate,6,,0,17.93,9.66,2.67
3451,39,Male,Running,Endurance,83,Medium,90,2215,69,470,86,6.5,High,7,,0,6.91,5.48,8.71
8771,30,Female,Running,Cardio,39,Low,170,3915,85,404,56,7.7,High,7,Minor,71,11.15,8.4,3.92
2334,28,Female,Basketball,Endurance,47,Medium,89,1562,69,284,63,5.6,High,2,,0,18.5,9.0,5.64
8606,33,Male,Volleyball,Strength,39,Medium,175,1813,131,484,95,7.2,Low,7,,0,7.77,1.71,8.38
9942,30,Female,Running,Endurance,101,Medium,77,3404,112,176,81,5.9,High,8,Moderate,39,11.01,8.08,6.57
7243,38,Male,Basketball,Endurance,67,Low,126,1606,87,131,41,6.6,Low,4,,0,10.37,3.82,7.95
788,19,Female,Volleyball,Endurance,66,High,178,3423,114,404,70,4.9,High,4,,0,7.07,9.72,7.92
4991,25,Male,Basketball,Cardio,85,High,160,2130,139,167,30,6.9,Moderate,6,Severe,8,5.7,7.56,6.25
9529,36,Male,Boxing,Endurance,35,Medium,102,3132,148,281,28,6.6,High,2,Moderate,44,14.52,6.05,3.82
2242,21,Female,Baseball,Strength,82,High,175,2304,177,422,33,5.5,Moderate,4,,0,10.32,6.85,5.52
6956,34,Male,Boxing,Strength,38,Medium,169,3665,50,422,75,9.0,High,3,Moderate,58,6.49,3.85,9.34
9030,26,Male,Wrestling,Strength,112,Medium,76,3647,189,272,50,4.1,Moderate,7,,0,18.63,4.76,1.65
1438,25,Male,Wrestling,Endurance,37,Low,126,2772,168,388,76,6.9,High,7,Minor,87,12.4,5.99,5.82
856,27,Male,Running,Strength,52,Medium,175,2567,98,391,24,8.9,High,9,,0,13.75,1.49,6.57
6155,28,Female,Running,Strength,87,Medium,154,2142,175,160,55,7.0,Low,1,Moderate,64,8.42,4.89,6.28
3732,31,Male,Football,Endurance,53,Low,137,1635,143,249,68,8.0,Low,1,,0,14.6,6.52,6.35
6997,37,Female,Basketball,Strength,95,Medium,82,1646,134,261,48,9.4,Low,1,,0,19.41,7.51,4.84
5551,35,Female,Basketball,Endurance,67,High,83,2080,105,228,75,7.1,Low,9,,0,9.0,9.04,8.61
269,36,Male,Football,Cardio,113,Medium,134,2554,186,397,39,5.9,High,1,,0,10.47,6.31,4.1
3979,21,Male,Hockey,Strength,85,High,135,3113,58,277,73,7.1,Moderate,7,Minor,16,6.8,7.36,4.27
1170,25,Female,Football,Endurance,80,Low,66,3446,57,432,80,4.2,Moderate,6,,0,11.93,9.12,2.09
7246,35,Female,Running,Cardio,37,High,174,1726,196,327,47,6.2,High,2,,0,19.16,1.17,4.17
9396,22,Male,Basketball,Endurance,60,Low,104,2939,157,182,73,9.7,Moderate,1,Minor,42,12.05,7.54,4.29
2786,30,Female,Basketball,Cardio,96,Low,141,2747,146,445,73,9.1,Low,7,,0,9.63,5.31,8.8
4860,32,Female,Football,Endurance,38,High,177,2013,192,117,85,8.5,Moderate,5,,0,11.45,7.36,8.19
292,33,Female,Basketball,Strength,108,High,105,2150,122,457,39,5.0,High,4,,0,17.6,4.96,4.44
1741,30,Male,Tennis,Strength,105,Medium,101,3416,178,173,48,7.9,Moderate,1,,0,16.76,2.55,7.87
7607,32,Female,Football,Strength,58,High,136,3112,179,151,92,8.1,Low,5,Minor,41,19.37,2.77,7.42
4642,22,Male,Running,Cardio,69,High,102,2291,152,493,66,8.2,Low,2,Moderate,28,15.46,6.24,6.79
7422,23,Male,Volleyball,Cardio,92,High,93,1568,198,246,48,4.9,Low,8,Minor,43,10.16,2.28,9.35
7736,27,Female,Running,Strength,118,High,167,3297,150,330,45,5.1,Low,5,,0,17.93,2.46,7.29
4675,37,Male,Basketball,Strength,61,Low,74,3532,131,280,28,7.7,High,9,,0,6.26,2.7,4.3
4908,28,Male,Running,Endurance,105,Medium,80,1860,135,451,61,7.5,High,8,Moderate,77,13.78,4.58,3.63
8882,30,Female,Boxing,Endurance,73,High,149,1753,112,228,34,9.5,Moderate,7,,0,14.9,1.15,8.67
2878,33,Female,Baseball,Cardio,51,Medium,130,1682,95,377,48,5.6,Low,4,,0,7.21,9.31,1.05
1773,30,Male,Volleyball,Endurance,101,Low,104,1835,146,118,41,4.8,Low,3,Severe,13,11.0,9.82,2.42
9366,18,Male,Running,Cardio,82,High,91,2111,106,232,55,8.0,Moderate,3,,0,13.57,6.81,9.53
6834,22,Male,Hockey,Cardio,50,High,149,1939,122,305,72,9.8,Moderate,7,Minor,25,16.92,6.41,8.75
9866,28,Male,Running,Cardio,55,Medium,93,3415,129,104,70,4.1,Low,1,,0,19.04,3.34,9.42
3660,25,Male,Football,Endurance,38,High,100,3207,184,415,94,4.6,High,9,,0,8.7,3.99,8.92
1374,26,Male,Cricket,Endurance,77,High,148,1625,160,290,83,7.0,Low,1,Minor,28,8.54,6.86,4.12
9409,32,Male,Running,Strength,66,Medium,158,2643,98,331,61,8.3,High,3,,0,16.56,6.64,9.65
5493,36,Male,Boxing,Cardio,45,High,158,2561,86,488,48,6.6,High,9,,0,12.79,2.41,1.63
8733,23,Female,Football,Strength,84,Low,68,1821,74,360,53,9.7,Low,9,,0,18.81,5.11,3.27
7057,38,Female,Football,Cardio,53,High,121,2204,124,243,46,4.2,High,4,,0,9.54,2.18,4.23
4882,25,Female,Hockey,Cardio,51,Low,109,2598,134,472,92,9.6,High,2,Moderate,26,10.98,1.36,6.57
747,31,Female,Football,Cardio,53,High,129,3437,134,471,22,6.0,Low,9,Minor,86,19.2,7.77,9.96
3175,25,Male,Cricket,Cardio,103,High,137,2326,50,114,73,5.0,Low,7,,0,12.38,3.63,8.03
5212,31,Female,Tennis,Cardio,82,Medium,110,3331,157,196,90,5.2,Low,8,,0,11.1,5.71,3.98
6907,32,Male,Running,Strength,93,Medium,110,3185,151,127,98,5.2,High,8,,0,9.14,5.94,8.02
743,18,Male,Football,Endurance,96,Medium,116,2146,110,439,41,6.7,Low,1,Minor,21,14.35,4.63,8.85
3564,37,Female,Football,Strength,71,Low,103,2527,104,114,84,6.8,High,7,,0,10.82,5.37,6.68
185,20,Female,Football,Cardio,69,High,156,1730,159,364,91,4.6,High,3,,0,15.54,9.7,2.07
4078,18,Male,Baseball,Cardio,39,Medium,112,1514,189,363,68,6.4,Moderate,1,,0,5.51,1.49,2.83
5364,37,Female,Basketball,Strength,79,Low,165,2132,154,109,81,7.9,Moderate,2,Severe,17,8.45,9.16,4.15
4453,27,Female,Football,Cardio,93,Low,94,2354,124,288,87,6.7,Low,4,,0,8.32,2.13,5.98
9656,31,Female,Running,Cardio,44,Medium,179,2403,101,326,30,9.4,Low,3,,0,8.1,7.89,6.05
7793,31,Male,Running,Strength,35,Medium,164,2218,155,373,28,6.8,Low,5,Minor,61,17.3,7.4,3.64
4677,25,Female,Cricket,Endurance,87,Low,174,2429,96,182,62,5.2,Low,8,Moderate,37,9.63,9.96,5.81
4358,31,Male,Wrestling,Strength,42,Low,127,2237,79,277,54,6.6,Moderate,1,,0,5.9,6.51,8.57
5329,31,Female,Running,Cardio,97,High,164,2963,178,390,23,7.3,Moderate,8,Minor,61,6.69,9.32,8.1
7509,37,Male,Hockey,Strength,35,Medium,157,2799,101,273,84,5.5,High,1,Minor,57,8.09,5.61,2.94
5801,24,Female,Boxing,Cardio,30,Low,155,3459,63,387,90,8.0,Moderate,3,Minor,51,10.07,3.4,8.03
496,36,Male,Tennis,Endurance,113,High,133,2730,96,125,79,4.2,Low,7,Minor,82,7.36,9.25,2.08
4436,20,Male,Baseball,Cardio,77,Medium,154,2159,68,211,99,7.5,Moderate,8,,0,14.12,9.26,2.74
5853,34,Male,Running,Cardio,92,High,151,3739,151,288,20,7.9,Low,2,,0,11.17,8.26,5.38
2388,38,Female,Running,Cardio,70,Low,144,2877,115,168,51,8.0,Low,9,,0,19.98,6.05,1.29
9145,29,Female,Hockey,Cardio,51,Low,162,3058,192,465,35,7.3,High,9,,0,12.13,2.39,3.59
3583,37,Male,Running,Endurance,33,Medium,164,2390,174,475,23,4.3,Moderate,5,Severe,25,6.04,6.85,6.07
2797,38,Male,Football,Endurance,72,Low,149,1582,85,311,88,7.3,Moderate,7,,0,16.13,7.75,8.21
3348,32,Female,Wrestling,Strength,39,Medium,124,1688,197,355,92,9.0,High,1,,0,14.64,9.72,9.5
6763,35,Female,Tennis,Cardio,36,Medium,129,1607,186,209,50,5.0,Low,5,Severe,51,16.7,9.56,3.58
3330,19,Female,Volleyball,Strength,113,Low,73,3560,145,145,95,4.6,Moderate,7,Minor,15,7.03,6.61,4.39
8943,22,Male,Baseball,Strength,115,Low,65,2975,77,238,36,9.3,Moderate,5,Minor,7,7.06,4.15,8.0
5020,25,Female,Volleyball,Endurance,51,Low,140,2976,134,170,46,6.9,Low,1,Moderate,20,5.37,9.16,4.47
8279,22,Male,Running,Cardio,53,Medium,79,1629,151,119,87,7.0,High,5,,0,11.48,7.83,3.64
1273,32,Female,Baseball,Strength,113,High,141,2969,112,295,48,5.5,High,4,,0,5.31,7.04,9.41
6480,24,Male,Running,Strength,58,Medium,93,3346,129,131,31,8.8,Low,9,,0,8.45,2.24,5.3
5983,27,Female,Cricket,Cardio,113,High,157,3823,90,242,22,9.9,Low,8,,0,6.21,2.36,4.07
8820,31,Female,Basketball,Cardio,115,Low,128,1754,114,461,27,4.9,High,5,Minor,7,10.39,1.15,6.96
3243,34,Female,Baseball,Cardio,97,Low,109,2531,75,319,30,4.5,Moderate,9,,0,10.43,3.59,1.19
3397,33,Female,Basketball,Endurance,50,Low,93,2708,114,294,35,6.4,Moderate,3,,0,6.99,8.61,5.22
8206,23,Female,Football,Strength,54,Medium,145,3044,199,443,81,8.4,Low,3,,0,8.11,7.14,4.14
8189,29,Female,Volleyball,Cardio,82,High,76,2552,156,304,69,7.9,High,9,,0,6.06,1.42,9.44
6213,20,Male,Running,Endurance,100,Low,106,3035,54,168,66,5.6,High,8,Moderate,19,13.81,2.46,6.88
9601,33,Female,Cricket,Endurance,119,Low,98,2169,174,381,37,7.0,Moderate,9,,0,19.15,2.41,4.7
1508,23,Female,Football,Endurance,96,Medium,119,3509,161,280,89,8.1,Moderate,3,,0,19.04,2.97,5.17
1387,35,Male,Baseball,Strength,118,Low,78,3316,110,471,27,6.0,Low,7,,0,8.42,5.0,9.86
3877,23,Female,Hockey,Strength,114,High,95,2083,159,297,34,7.1,High,5,,0,10.16,6.11,7.48
7121,26,Male,Boxing,Strength,104,Low,111,2976,135,439,33,4.2,Low,7,,0,17.97,9.76,4.39
9588,31,Female,Running,Cardio,30,High,136,3852,131,123,60,5.8,Moderate,2,,0,6.41,1.36,4.91
7219,38,Male,Running,Cardio,84,High,113,1760,199,427,56,6.9,Low,1,Minor,60,16.31,1.82,7.05
8006,35,Female,Football,Strength,39,High,173,3244,50,101,80,9.9,Moderate,9,,0,9.76,8.47,7.43
1920,28,Female,Volleyball,Cardio,114,Low,156,3695,64,220,39,7.8,Low,5,,0,8.35,3.61,1.67
8940,18,Male,Football,Cardio,79,Low,122,1629,198,294,73,4.8,High,9,Moderate,8,12.74,6.32,8.52
6745,26,Male,Hockey,Strength,106,Low,161,3275,151,181,29,9.0,Moderate,9,,0,14.84,2.41,8.1
1979,36,Female,Running,Strength,60,High,133,3431,84,378,71,9.5,Low,1,Minor,69,15.49,2.85,4.12
6187,25,Female,Football,Strength,115,Low,145,2095,58,276,62,4.1,Low,8,,0,13.81,7.97,8.51
8834,18,Female,Football,Strength,51,Medium,102,1928,126,167,68,6.1,Low,2,Moderate,18,11.18,7.69,8.34
6325,22,Male,Basketball,Endurance,104,Medium,129,2404,144,245,70,9.9,Moderate,3,Moderate,9,16.95,3.82,3.35
3086,37,Male,Basketball,Cardio,37,High,69,1551,87,288,93,6.9,High,4,,0,16.51,7.2,9.37
5031,25,Female,Football,Strength,112,High,112,3006,142,236,24,8.9,Low,5,,0,6.63,7.51,9.46
4239,32,Male,Football,Cardio,92,Low,117,1673,107,210,33,7.7,High,4,,0,12.0,8.6,7.42
2915,24,Male,Hockey,Endurance,96,High,102,2614,181,387,30,5.5,Moderate,7,Minor,40,7.56,3.8,7.05
5200,25,Female,Hockey,Strength,30,High,93,1723,110,415,77,5.6,High,2,,0,14.26,6.2,7.68
7610,27,Male,Boxing,Endurance,32,High,158,2125,87,293,21,5.8,High,6,,0,16.67,9.8,4.86
5427,37,Male,Hockey,Strength,101,Medium,155,2098,82,438,40,7.2,Low,8,,0,15.56,2.07,9.14
4386,36,Male,Running,Endurance,50,Medium,169,3814,165,197,67,6.8,Moderate,9,Moderate,7,14.83,1.83,4.6
9945,27,Male,Wrestling,Cardio,45,Low,61,3943,161,410,21,9.9,Low,1,,0,15.76,9.22,2.08
8222,29,Male,Football,Strength,74,Medium,174,3021,181,227,55,8.1,Low,8,Severe,18,9.5,7.59,7.85
8482,22,Female,Cricket,Cardio,97,Low,61,3629,178,470,88,5.0,Low,4,Minor,51,13.54,5.8,3.59
3184,24,Female,Hockey,Cardio,102,High,80,1629,60,343,87,7.6,High,8,Minor,66,5.21,5.55,3.04
6589,39,Male,Football,Endurance,91,Medium,140,2961,183,456,60,7.2,Moderate,7,,0,18.31,7.17,1.16
4215,26,Female,Football,Cardio,98,High,157,3010,67,209,91,6.8,Low,7,,0,7.14,9.3,2.03
5268,18,Female,Hockey,Endurance,115,Low,124,2552,106,285,59,6.0,Moderate,7,,0,16.27,6.9,2.77
9853,19,Female,Boxing,Cardio,63,Low,169,3174,158,160,97,4.6,High,1,,0,5.75,3.98,1.33
5683,19,Female,Wrestling,Endurance,110,Low,96,2741,147,172,42,7.5,Moderate,8,Moderate,82,7.71,1.84,3.23
1344,29,Female,Football,Strength,99,Low,74,3480,74,108,43,4.9,Moderate,2,,0,11.21,3.0,9.54
7631,30,Female,Running,Endurance,62,Low,167,2477,59,419,36,4.6,Moderate,8,Moderate,68,15.21,5.1,3.52
8655,32,Female,Basketball,Cardio,93,Medium,128,1772,150,372,73,4.1,Moderate,5,,0,9.28,1.42,2.68
9174,18,Male,Basketball,Endurance,89,High,143,3691,175,254,99,5.4,Low,7,,0,11.49,1.49,1.14
9464,29,Male,Basketball,Endurance,91,Low,113,3962,109,139,67,6.2,Low,1,Moderate,77,16.27,4.13,1.32
8477,27,Female,Basketball,Strength,87,High,141,3576,127,297,59,4.2,High,2,Minor,23,18.81,8.3,6.77
1191,26,Female,Boxing,Endurance,81,Medium,170,3644,175,108,70,4.5,High,3,,0,6.89,4.31,1.62
7313,24,Female,Football,Cardio,31,Low,100,1580,110,207,88,7.4,Low,7,,0,8.83,7.03,1.51
2039,31,Male,Football,Cardio,41,High,151,3707,173,200,80,4.8,High,6,Moderate,37,9.57,1.82,9.09
7394,23,Male,Cricket,Endurance,56,High,144,2812,55,229,46,5.6,Moderate,7,,0,13.6,6.69,6.73
9465,28,Male,Football,Endurance,58,Medium,63,3583,164,429,45,8.4,Low,4,,0,15.93,7.31,9.17
8785,39,Male,Basketball,Strength,72,Low,115,3326,191,186,20,9.4,High,6,,0,16.98,2.55,5.29
945,29,Female,Football,Cardio,100,Medium,127,3165,143,134,44,6.0,High,5,,0,6.75,2.1,6.08
4892,32,Male,Football,Strength,53,Low,130,2261,156,385,26,8.5,High,5,,0,8.55,9.38,7.19
9498,29,Female,Football,Cardio,114,High,102,2711,121,196,66,4.7,Low,9,Minor,35,9.73,4.49,8.31
